shop_name,address,phone_number,email,category,product,district,street_no,street_name,city,ward,ocr_result,file_name
Mỹ Phẩm Cao Cấp Nhật King Anh Laura Sunshine,"523 Hùng Phú, Phường 9, Quận 8, TP.Hồ Chí Minh",0902.685.002 0909.933.791,,Mỹ phẩm cao cấp từ Nhật Bản,"Kem dưỡng da, sữa rửa mặt, serum, mặt nạ và sản phẩm chăm sóc da khác",Quận 8,523,Hùng Phú,TP.Hồ Chí Minh,Phường 9,"MỸ PHẨM CAO CẤP NHẬT KING ANH
LAURA SUNSHINE
NPP ĐỘC QUYỀN QUẬN 8
HỒNG YÊN
523 HÙNG PHÚ PHƯỜNG.9-Q.B
0902.685.002 0909.933.791
525",crop_images/GPAH9313.JPG.jpg_1730845879.5297139.jpg
Cafe Lâm Việt,"123 Trần Hưng Đạo, Quận 1, TP.HCM",,,Quán cà phê,"Cà phê rang xay sạch, Trà sữa, Nước trái cây tươi, Mochas, Cappuccinos, Đồ ăn nhẹ, Bánh ngọt",Quận 1,123,Trần Hưng Đạo,TP.HCM,,Cafe Lâm Việt,crop_images/GPAH9314.JPG.jpg_1730846170.9719825.jpg
Cafe Lâm Việt,"519 Hùng Phú, Phường 9, Quận 8, TP.Hồ Chí Minh",,,Quán cafe,Đồ uống phong phú tại quán cafe,Quận 8,519,Hùng Phú,TP.Hồ Chí Minh,Phường 9,"Cafe
Lâm Việt
519 HÙNG PHÚ P 9 Q.8",crop_images/GPAH9314.JPG.jpg_1730846171.02687.jpg
Cafe Lân,Không rõ,,,Cafe,"Các loại thức uống cafe như cappuccino, latte, espresso, và bánh ngọt",,,,,,"Cafe
Lân",crop_images/GPAH9315.JPG.jpg_1730846298.5678666.jpg
Cafe Lân,,,,Quán cà phê,Cafe và đồ uống,,,,,,"Cafe
Lân",crop_images/GPAH9315.JPG.jpg_1730846298.5904102.jpg
Cửa hàng điện thoại di động Thành Đạt,,,,Điện thoại di động và phụ kiện,,,,,,,"CỬA HÀNG ĐIỆN THOẠI DI ĐỘNG
THÀNH ĐẠT",crop_images/GPAH9317.JPG.jpg_1730846637.7156382.jpg
Phố 513,"513 Phường 9, Quận 8",0917.377.639,,,,Quận 8,513,Phường 9,,,"Phố
513
PHƯỜNG 9 - QUẬN 8
DT: 0917.377.639",crop_images/GPAH9319.JPG.jpg_1730846973.568838.jpg
Phố 513,"513 Phường 9, Quận 8",0917.377.639,,,,Quận 8,513,Phường 9,,,"Phố
513
PHƯỜNG 9 - QUẬN 8
DT: 0917.377.639",crop_images/GPAH9319.JPG.jpg_1730846973.5793548.jpg
Phố 513,"513 Phường 9, Quận 8",0917.377.639,,,,Quận 8,513,Phường 9,,,"Phố
513
PHƯỜNG 9 - QUẬN 8
DT: 0917.377.639",crop_images/GPAH9319.JPG.jpg_1730846973.5943506.jpg
KIM KAI SƠN,,,,,,,,,,,KIM KAI SƠN,crop_images/GPAH9324.JPG.jpg_1730847794.0468168.jpg
Cửa hàng 511 HÙNG PHÚ,"511 HÙNG PHÚ, phường 9, quận 8",0121 772 9992,,"Đồ uống, Sản phẩm vệ sinh, Bánh kẹo","Sữa, Tả, Bia, Nước Ngọt, Bánh Kẹo các loại",Quận 8,511,HÙNG PHÚ,,Phường 9,"CỬA HÀNG
511 HÙNG PHÚ
CHUYÊN MUA BÁN SỮA - TẢ - BIA - NƯỚC NGỌT - BÁNH KẸO CÁC LOẠI
511 HÙNG PHÚ P.9, Q.8
DT: 0121 772 9992",crop_images/GPAH9326.JPG.jpg_1730848473.5863967.jpg
Nhà Thuốc Long Châ,,,,dược phẩm,"các sản phẩm dược phẩm, thuốc chữa bệnh",,,,,,"NHÀ THUỐC
LONG CHÂ",crop_images/GPAH9326.JPG.jpg_1730848473.6030648.jpg
Nhà Thuốc Long Châu,"Lô Thị Bảo Ngọc, 01 Vũ Trứ, Phường Gò Vấp, TP.HCM",,,Nhà thuốc,"Bán lẻ thuốc thành phẩm, Dược mỹ phẩm, Máy đo huyết áp",Gò Vấp,01,Vũ Trứ,TP.HCM,,"NHÀ THUỐC LONG CHÂA
BÁN LẺ THUỐC THÀNH PHẨM
ĐC: Lô Thị Bảo Ngọc
ĐC: 01 Vũ Trứ, P. Gò Vấp & TP.HCM
TIM MẠCH TIỂU ĐƯỜNG
XUÔNG KHỚP THẦN KINH
GÂN DA DÀY
CHI ĐẸP LÊN SẮC - LÊN SỨC
HÀNG ÂU, ÚC, MỸ GIẢM ĐẾN 35%
DƯỢC MỸ PHẨM GIẢM ĐẾN 30%
MÁY DO HUYẾT ÁP GIẢM 20%",crop_images/GPAH9326.JPG.jpg_1730848473.6501067.jpg
CỬA THẦN THÁNH,"Đường Thăm Dương, Quận Hồng Bàng, Thành phố Hải Phòng",,,Vật liệu xây dựng,"Các loại cửa, cửa sổ, và vật liệu xây dựng từ gỗ",Hồng Bàng,,,Hải Phòng,,CỬA - ĐƠN - GỖI - NGUYÊN - DUỐI THĂM,crop_images/GPAH9327.JPG.jpg_1730848637.952689.jpg
Cửa hàng 511 HƯNG PHÚ,S11 HƯNG PHÚ P.9 Q.8,,,Siêu thị/Tiệm tạp hóa,"Sữa, Tả, Bia, Nước ngọt, Bánh, Kẹo",Quận 8,,,,,"CỬA HÀNG
511 HƯNG PHÚ
CHUYÊN MUA BÁN SỮA - TẢ - BIA - NƯỚC NGỌT - BÁNH KẸO CÁC LOẠI
S11 HƯNG PHÚ P.9 Q.8",crop_images/GPAH9327.JPG.jpg_1730848637.9698877.jpg
CỬA HÀNG 511,"511 HƯNG PHÚ, P.Q.B",,,Thực phẩm và đồ uống diversification,"Sữa, tả, địa, nước ngọt, bánh kẹo các loại",P,511,HƯNG PHÚ,,Q.B,"CỬA HÀNG
511 HƯNG PHÚ
CHUYÊN MUA BÁN SỮA - TẢ - ĐỊA - NƯỚC NGỌT - BÁNH KẸO CÁC LOẠI
511 HƯNG PHÚ P.Q.B",crop_images/GPAH9327.JPG.jpg_1730848637.9771504.jpg
Uốn Tóc Huỳnh Anh,"505 Hùng Phủ, Phường 9, Quận 4, Lô 372-382",,,Salon tóc,"Cắt tóc, uốn tóc, làm bội, nhuộm tóc, dịch vụ làm dầu thắng",Quận 4,505,Hùng Phủ,,Phường 9,"Uốn Tóc Huỳnh Anh
Cắt - Uốn - Bội - Nhuộm - Dưa Thắng
ĐC: 505 Hùng Phủ - P.9 - Q.4 - Lô 372 382",crop_images/GPAH9328.JPG.jpg_1730848761.6181276.jpg
Hưng Phú Đạt Chuẩn GPP,,,,,,,,,,,"HƯNG PHÚ
ĐẠT CHUẨN GPP",crop_images/GPAH9331.JPG.jpg_1730849342.9372156.jpg
Công ty TNHH Xây dựng Công Nghiệp và Dẫn Dụng Thiên An - Số 2,"Xây Nhà Phố, VN",076 538 5946 - 090 1199 538,,Xây dựng,Dịch vụ xây dựng nhà phố,,,,,,"CÔNG TY TNHH XÂY DỰNG CÔNG NGHIỆP VÀ DẪN DỤNG THIÊN AN - SỐ 2
XÂY NHÀ PHỐ. VN
DT - ZL: 076 538 5946 - 090 1199 538",crop_images/GPAH9331.JPG.jpg_1730849342.9570556.jpg
Công ty Thiết kế Thi công Xây dựng XYZ,"Số 123 Đường ABC, Quận XYZ, Thành phố HCM",,,Thi công xây dựng,"Dịch vụ thiết kế kiến trúc, nội thất, xây dựng và hoàn thiện công trình",XYZ,123,Đường ABC,Thành phố HCM,,THIẾT KẾ THI CÔNG XÂY DỰNG,crop_images/GPAH9332.JPG.jpg_1730849431.3503966.jpg
Điện Quang - CỬA HÀNG 487,"487 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",0903.137.005,,Điện - Nước Gia dụng,"Đèn chiếu sáng, sản phẩm thông minh (Smart), pin năng lượng mặt trời (Solar), sản phẩm điện gia dụng (Home), sản phẩm điện",Quận 8,487,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Điện Quang
Lighting, Smart, Solar, Home, Electric
CỬA HÀNG 487
CHUYÊN MUA BÁN ĐIỆN - NƯỚC GIA DỤNG
ĐC: 487 Hưng Phú, P.9, Q.8, TP.HCM
DT: 0903.137.005",crop_images/GPAH9333.JPG.jpg_1730849613.0645986.jpg
Thẩm Mỹ Quốc Tế Mr. Linh,"69 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",0971 663 017,,Dịch vụ thẩm mỹ,"Các dịch vụ thẩm mỹ đa dạng bao gồm facials, trị mụn, làm trắng da, tẩy tế bào chết, trang điểm chuyên nghiệp, và các liệu pháp làm đẹp khác.",Quận 8,69,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Thẩm Mỹ Quốc Tế Mr. Linh
Hotline: 0971 663 017
69 HƯNG PHÚ - P.9 - Q.8 - TP.HCM",crop_images/GPAH9333.JPG.jpg_1730849613.0952988.jpg
GẠO MINH PHẬT,Sỉ Lẻ 100 - 200,0986.375.400,,Gạo (bán sỉ và lẻ),Gạo,,,,,,"GẠO
MINH PHẬT
Sỉ Lẻ 100 - 200
Điện thoại: 0986.375.400",crop_images/GPAH9334.JPG.jpg_1730849848.5791419.jpg
GẠO MINH PHÁT,,0906 667 483,,Cung cấp sỉ & lẻ,"Gạo, Tấm, Nếp",,,,,,"GẠO MINH PHÁT
CHUYÊN: CUNG CẤP SỈ & LẺ
GẠO, TÂM, NẾP
DT: 0906 667 483",crop_images/GPAH9334.JPG.jpg_1730849848.6148143.jpg
GẠO MINH PHÁT,,0906 667 483,,Cung cấp sỉ & lẻ,"GẠO, TÂM, NẾP",,,,,,"GẠO MINH PHÁT
CHUYÊN: CUNG CẤP SỈ & LẺ
GẠO, TÂM, NẾP
DT: 0906 667 483",crop_images/GPAH9334.JPG.jpg_1730849848.633457.jpg
GẠO MINH PHẬT,"Đường ABC, Quận XYZ, Thành phố HCM",,,Cửa hàng chuyên cung cấp các loại gạo,"Gạo nguyên chất, gạo sạch",Quận XYZ,,,Thành phố HCM,,"GẠO
MINH PHẬT",crop_images/GPAH9334.JPG.jpg_1730849848.6963518.jpg
Nhân Dạy,,,,Giáo dục,"Dạy học từ lớp 1 - lớp 12, chuẩn bị cho kỳ thi tốt nghiệp THPT - Đại học, cung cấp giáo viên chuyên nghiệp với khả năng giảng dạy trong khoa học",,,,,,"NHÂN DẠY
TỪ LỚP 1 - LỚP 12
LỚP THPT - ĐẠI HỌC
THPT - ĐẠI HỌC
LỚP THPT - ĐẠI HỌC
GIAO VIÊN KHOA HỌC",crop_images/GPAH9335.JPG.jpg_1730850044.3001208.jpg
CẠO MINH PHÁT,,0906 667 483,,,"GẠO, TÂM, NẾP",,,,,,"CẠO MINH PHÁT
CHUYÊN: CUNG CẤP BỊ & LẺ
GẠO, TÂM, NẾP?
DT: 0906 667 483",crop_images/GPAH9335.JPG.jpg_1730850044.3147426.jpg
Cửa hàng Gạo Minh Phát,,0906 667 483,,Cung cấp sỉ & lẻ,"Gạo, tấm, nếp",,,,,,"CẠO MINH PHÁT
CHUYÊN: CUNG CẤP SỈ & LẺ
GẠO, TÂM, NẾP?
DT: 0906 667 483",crop_images/GPAH9335.JPG.jpg_1730850044.3460257.jpg
CẠO MINH PHÁT,,0906 667 483,,Kinh doanh gạo,"Gạo các loại: Tâm, Nếp",,,,,,"CẠO MINH PHÁT
CHUYÊN, CUNG CẤP SỈ & LẺ
GẠO, TÂM, NẾP
DT: 0906 667 483",crop_images/GPAH9335.JPG.jpg_1730850044.3580947.jpg
My Huế,"471 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",,,"Chuyên bán lẻ thuốc chữa bệnh, đạt chuẩn GPP",Thuốc chữa bệnh,Quận 8,471,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"MY HUẾ
ĐẠT CHUẨN GPP
CHUYÊN BÁN LẺ THUỐC CHỮA BỆNH
DS. NGUYỄN THỊ HOÀI ANH
GPS: 2623 / HCM ĐKKDD
ĐC: 471 HƯNG PHÚ, PHƯỜNG 9, QUẬN 8, TP. HCM",crop_images/GPAH9338.JPG.jpg_1730850673.583603.jpg
Castrol BIKE POINT HUYỀN 465,"465 đường Huyền, Quận 465",,,Dịch vụ sửa xe và bán lẻ sản phẩm,"Castrol's products, phụ tùng và dịch vụ liên quan đến xe máy",Quận 465,465,đường Huyền,,,Castrol BIKE POINT HUYỀN 465 SỬA XE CHUYÊN NGHIỆP 465 HUYỀN 465,crop_images/GPAH9340.JPG.jpg_1730851050.5847926.jpg
Nhà Trước Hả Sương,,,,,,,,,,,NHÀ TRƯỚC HẢ SƯƠNG,crop_images/GPAH9340.JPG.jpg_1730851050.6039.jpg
Huyền 465,"465 Hưng Phú, Phường 9, Quận 8",0908.446.554,,Sửa xe chuyên nghiệp,"Động cơ, hệ thống phanh, hệ thống treo, lốp xe, dầu nhớt và các dịch vụ sửa chữa, bảo dưỡng xe đạp, xe máy và ô tô chuyên nghiệp",Quận 8,465,Hưng Phú,,Phường 9,"Huyền 465
SỬA XE CHUYÊN NGHIỆP
465 Hưng Phú, Phường 9, Quận 8 - ĐT: 0908.446.554",crop_images/GPAH9340.JPG.jpg_1730851050.6459527.jpg
NHA THUỐC HÀ SƯƠNG,"Đường Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh",,,Dược phẩm và vật tư y tế,"Thuốc bảo vệ sức khỏe, thuốc điều trị bệnh tật, sản phẩm chăm sóc sức khỏe gia đình",Quận 7,,,TP. Hồ Chí Minh,,NHA THUỐC HÀ SƯƠNG,crop_images/GPAH9341.JPG.jpg_1730851128.5752304.jpg
Nhà Thuốc Tây Hà Sương,"463 Hưng Phú, Phường 8, Quận 8, Thành phố Hồ Chí Minh",,,"Thuốc Tây, Dược phẩm","Thuốc Tây nội, ngoại nhập",Quận 8,463,Hưng Phú,Thành phố Hồ Chí Minh,Phường 8,"NHÀ THUỐC TÂY
HÀ SƯƠNG
ĐẠT TIÊU CHUẨN GPP CHUYÊN BÁN LẺ THUỐC TÂY NỘI, NGOẠI NHẬP
463 HƯNG PHÚ - P. Q.8 - Q.8 TP. HỒ CHÍ MINH
DƯỢC SĨ BÙI THANH LÂN",crop_images/GPAH9341.JPG.jpg_1730851128.5820684.jpg
Nhà Thuốc Hà Sưễ,,,,"Dược phẩm, thuốc chữa bệnh","Thuốc, dược phẩm",,,,,,"NHÀ THUỐC
HÀ SƯỜNG",crop_images/GPAH9342.JPG.jpg_1730851279.9455006.jpg
Nhà Thuốc Tây Nguyễn Thị Ngọc Yên,"PTCM: DSDH, GPS: 1153/GP - 13191/DKKDD-HCM",,,Dược phẩm,"Thuốc, Thực Phẩm Chức Năng, Thiết Bị Dụng Cụ Y Tế, Dược Mỹ Phẩm, Sữa",,,,,,"NHÀ THUỐC TÂY
PTCM: DSDH. Nguyễn Thị Ngọc Yên
GPS: 1153/GP - 13191/DKKDD-HCM
PVKD: Bán lẻ Thuốc, Thực Phẩm Chức Năng, Thiết Bị Dụng Cụ Y Tế, Dược Mỹ Phẩm, Sữa Tô...
68% Vitamin Khoáng Chất Bỏ Não, Bỏ Mắt Tăng Dễ Kháng",crop_images/GPAH9345.JPG.jpg_1730851682.3361948.jpg
Heo Baby Bách Hóa Tổng Hợp,,,,"Bách hóa tổng hợp, bán sỉ và lẻ sản phẩm cao cấp cho trẻ em",Hàng cao cấp cho trẻ em,,,,,,"HEO BABY
BÁCH HÓA TỔNG HỢP
SỈ & LẺ HÀNG CAO CẤP",crop_images/GPAH9345.JPG.jpg_1730851682.3846977.jpg
Nhà Thuốc Tây Nguyễn Thị Ngọc Yên,"PTCM: DSDH, 1153/GPP - 13191/DKKDD-HCM",,,Dược,"Thuốc, Thực Phẩm Chức Năng, Thiết Bị Dụng Cụ Y Tế, Dược Mỹ Phẩm, Sữa Tả",,,,,,"NHÀ THUỐC TÂY
PTCM: DSDH. Nguyễn Thị Ngọc Yên
GPS: 1153/GPP - 13191/DKKDD-HCM
PVKD: Ban lẻ Thuốc, Thực Phẩm Chức Năng,
Thiết Bị Dụng Cụ Y Tế, Dược Mỹ Phẩm, Sữa Tả...",crop_images/GPAH9345.JPG.jpg_1730851682.4146662.jpg
Nhà Thuốc Tây Nguyễn Thị Ngọc Yến,"1153, Đường số, Quận Gò Vấp, TP.Hồ Chí Minh",,,Dược phẩm,"Thuốc Tây, Thực Phẩm Chức Năng, Thiết Bị Dụng Cụ Y Tế, Dược Mỹ Phẩm, Sữa Tăng Cân và Sữa Giảm Cân",Gò Vấp,1153,Đường số,TP.Hồ Chí Minh,,"NHÀ THUỐC TÂY
PTCM: DSDH. Nguyễn Thị Ngọc Yến
GPS: 1153/GP - 13191/DKKD-HCM
PVKD: Bán lẻ Thuật, Thực Phẩm Chức Năng, Thiết Bị Dụng Cụ Y Tế, Dược Mỹ Phẩm, Sữa T...",crop_images/GPAH9345.JPG.jpg_1730851682.4274414.jpg
WELL-CARE,,,,Sức khỏe và làm đẹp,"Thực phẩm chức năng, sản phẩm chăm sóc da, sản phẩm giảm cân, dịch vụ tư vấn dinh dưỡng và phục hồi sức khỏe",,,,,,CHỌN SỨC KHỎE CHỌN WELL-CARE,crop_images/GPAH9346.JPG.jpg_1730851897.1663284.jpg
Jno Coffee & Milk Tea,"449 Hưng Phú, Phường 9, Quận 8",0966 0000 69,,Cà phê và Trà sữa,Cửa hàng chuyên kinh doanh cà phê và trà sữa,Quận 8,449,Hưng Phú,,Phường 9,"Jno Coffee & Milk Tea
449 Hưng Phú, P.9, Q.8
DT: 0966 0000 69",crop_images/GPAH9347.JPG.jpg_1730852089.9606473.jpg
Uno Coffee & Milk Tea,,,,"Đồ uống (Cà phê, Trà sữa)",Cà phê và Trà sữa,,,,,,"Uno
COFFEE & MILK TEA",crop_images/GPAH9348.JPG.jpg_1730852243.5477405.jpg
Uno COFFEE & Milk Tea,"443 - 445 - 449 Hưng Phú, Phường 9, Quận 8",0966.0000.69,,,Cà phê và trà sữa,Quận 8,443 - 445 - 449,Hưng Phú,,Phường 9,"Uno COFFEE & Milk Tea
ĐC: 443 - 445 - 449 HƯNG PHÚ - P.9 - Q.8
DT: 0966.0000.69",crop_images/GPAH9348.JPG.jpg_1730852243.5722475.jpg
Ăn Vặt Benz Benz,"Đường XYZ, Thành phố HCM",,,Cung cấp các loại đồ ăn vặt phong phú và đa dạng cho khách hàng.,Món ăn vặt,,,,,,"ĂN VẬT
Benz Benz",crop_images/GPAH9351.JPG.jpg_1730852688.8054402.jpg
Bánh Canh Cua Đặc Biệt 439,,,,Bánh canh cua,"Bánh Canh Cua, Giỏ, Cua, Tháp Cẩm",,,,,,"Bánh Canh Cua
Giỏ 20K
Cua 25K
Tháp Cẩm
Không Gói 25K
Đặc Biệt
439",crop_images/GPAH9351.JPG.jpg_1730852688.8170824.jpg
A Rin Z,,,,"Bánh ngọt, đặc sản",Bánh Khoai Mỡ,,,,,,"A Rin Z
Bánh Khoai Mỡ
Ăn Là Ghiền",crop_images/GPAH9351.JPG.jpg_1730852688.823261.jpg
Ăn Vặt Benz Benz,,,,"Thực phẩm nhanh, đồ ăn vặt",Ăn vặt,,,,,,"ĂN VẬT
Benz Benz",crop_images/GPAH9351.JPG.jpg_1730852688.849684.jpg
GIẶT SẤY NHANH 435,Không có thông tin cụ thể về địa chỉ,,,Dịch vụ giặt sấy,Dịch vụ giặt sấy với 7 lần giặt thường và được tặng thêm 1 lần giặt miễn phí,,,,,,GIẶT SẤY NHANH 435 GIẶT 7 LẦN TĂNG 1 LẦN,crop_images/GPAH9352.JPG.jpg_1730852825.6081493.jpg
Giặt sấy nhanh 435,,,,Dịch vụ giặt là,Dịch vụ giặt sấy nhanh,,,,,,GIẶT SẤY NHANH 435 GIẶT 7 LẦN TĂNG 1 LẦN,crop_images/GPAH9352.JPG.jpg_1730852825.6194513.jpg
A Rin Z,,,,,,,,,,,A Rin Z,crop_images/GPAH9352.JPG.jpg_1730852825.6358523.jpg
Ăn Và Benz Benz,,,,Dịch vụ ẩm thực và dịch vụ ô tô,,,,,,,"ĂN VÀ
Benz Benz",crop_images/GPAH9352.JPG.jpg_1730852825.6497717.jpg
Giặt Sấy Nhanh 435,,,,Dịch vụ giặt sấy,"Dịch vụ giặt sấy đồ đạc, vải trang trí với khả năng giặt 7 lần và tăng 1 lần.",,,,,,GIẶT SẤY NHANH 435 GIẶT 7 LẦN TĂNG 1 LẦN,crop_images/GPAH9352.JPG.jpg_1730852825.657449.jpg
B'smart,Không rõ.,,,Thời trang và phụ kiện,Các sản phẩm thời trang và phụ kiện,,,,,,"B'smart
BE YOUR CHOICE",crop_images/GPAH9354.JPG.jpg_1730853149.067686.jpg
B'smart,,,,Cửa hàng thời trang,,,,,,,"B'smart
BE YOUR CHOICE",crop_images/GPAH9355.JPG.jpg_1730853382.3962798.jpg
Tấm Sơn Quán,,,,Quán ăn,"Bánh Bò Huế, Bánh Xào Cay, Lẩu Xí Quách",,,,,,"Tấm Sơn Quán
40K
Bánh Bò Huế
Bánh Xào Cay
Lẩu Xí Quách
THỜI GIAN BÁN
- 6h - 12h
- 16h - 22h
Kính Mật",crop_images/GPAH9356.JPG.jpg_1730853558.3379793.jpg
Tấm Sơn Quán,,,,Nhà hàng,"Bánh Bò Huế, Bánh Súp Cày, Lẩu Xí Quách",,,,,,"Tấm Sơn Quán
40K
Bánh Bò Huế
Bánh Súp Cày
Lẩu Xí Quách",crop_images/GPAH9356.JPG.jpg_1730853558.37584.jpg
TÂM SƠN QUÁN,,,,,"BÀI ĐỒ HẢI, BÀI XUÂN CAY, LẨU XÍ QUÁCH",,,,,,"TÂM SƠN QUÁN
40K
BÀI ĐỒ HẢI
BÀI XUÂN CAY
LẨU XÍ QUÁCH
THỜI GIẢN BÁN
- 6h - 12h
- 16h - 22h",crop_images/GPAH9356.JPG.jpg_1730853558.3910172.jpg
Chợ Hưng Phú,"423 Hưng Phú, Phường 9",032 944 3561,,"Thực phẩm, đồ dùng hằng ngày","Đồ tiêu dùng, thực phẩm, đồ gia dụng",Quận [không có thông tin cụ thể],,,,,"ĐC: 423 HƯNG PHÚ - PHƯỜNG 9 - QUẬN
ĐT: 032 944 3561",crop_images/GPAH9357.JPG.jpg_1730853775.876714.jpg
Quán Cơm Liên 417,417 [cần thêm thông tin về đường/phường/quận thành phố],,,Quán ăn,"Cơm Tấm vào buổi sáng, Cơm Bình Dân với giá 25,000 VNĐ vào buổi trưa",,,,,,"QUÁN CƠM LIÊN 417
SÁNG CƠM TẤM -...
TRƯA CƠM BÌNH DÂN 25K",crop_images/GPAH9359.JPG.jpg_1730854097.2104628.jpg
Quán Cơm Liên 417,"417 Hùng Phú, Phường 9, TP. Hồ Chí Minh",,,Quán ăn,"Sáng Cơm Tấm, Trưa Cơm Bình Dân",,,,TP. Hồ Chí Minh,Phường 9,"Quán Cơm Liên 417
Sáng Cơm Tấm - Trưa Cơm Bình Dân 25K
ĐC: 417 Hùng Phú P.9",crop_images/GPAH9359.JPG.jpg_1730854097.2288146.jpg
TẠP HÓA 413B,413B [Địa chỉ chi tiết không có thông tin],,,Cửa hàng thực phẩm,"Củ Kiệu, Dưa Món, Trái Heo Ngâm, Khô Gà, Tương Hột, Chao, Các loại gia vị",,,,,,"TẠP HÓA 413B
Sỉ lẻ: Củ Kiệu - Dưa Món (Chay - Mận)
- Trái Heo Ngâm - Khô Gà
- Tương Hột - Chao - Các Loại Gia Vị...",crop_images/GPAH9360.JPG.jpg_1730854345.064794.jpg
Tạp Hóa 413B,413B,,,"Tạp hóa, thực phẩm, gia vị và đồ khô","Củ Kiệu, Dưa Món (Chay - Mận), Tái Heo Ngâm, Khô Gà, Tương Hột, Chao, Các loại gia vị",,,,,,"TẠP HÓA 413B
Sỉ lẻ: Củ Kiệu - Dưa Món (Chay - Mận)
- Tái Heo Ngâm - Khô Gà
- Tương Hột - Chao - Các Loại Gia Vị...",crop_images/GPAH9360.JPG.jpg_1730854345.095936.jpg
TẠP HOA,413B,,,Sỉ lẻ các loại nhang đèn và giấy.,NHANG ĐÈN - GIẤY,,,,,,"TẠP HOA
413B
SỈ LẺ: NHANG ĐÈN - GIẤY CUNG CÁC LOẠI",crop_images/GPAH9360.JPG.jpg_1730854345.1133354.jpg
Sỉ lẻ Thực Phẩm Chay Món,,,,"Sỉ lẻ thực phẩm chay và món (có cả mặn và chay), đồ ngâm và khô như trái heo, gà, cung cấp các loại tương hột, chao, cùng đa dạng các loại gia vị khác.","Củ Kiệu, Dưa Món (Chay - Mặn), Trái heo ngâm, Khô gà, Tương hột, Chao, Các loại gia vị",,,,,,"Sỉ lẻ: Củ Kiệu - Dưa Món (Chay - Mặn)
- Trái heo ngâm - Khô gà
- Tương hột - Chao - Các loại gia vị...",crop_images/GPAH9360.JPG.jpg_1730854345.12345.jpg
Tạp hóa 413B,,,,Tạp hóa,"Sỉ lẻ: Củ Kiệu - Dưa món (chay - mận), Tai Heo Ngậm - Khô Gà, Tương Hột - Chao, Các loại gia vị",,,,,,"Tạp Hóa 413B
Sỉ Lẻ: Củ Kiệu - Dưa Món (Chay - Mận)
- Tai Heo Ngậm - Khô Gà
- Tương Hột - Chao - Các Loại Gia Vi...",crop_images/GPAH9361.JPG.jpg_1730854548.921143.jpg
Tạp Hóa 413B,Không có thông tin,,,"Thực phẩm, gia vị và đồ ăn chay","Củ kiệu, Dưa món (chay - mận), Tai heo ngậm, Khô gà, Tương hột, Chao, Các loại gia vị",,,,,,"Tạp Hóa 413B
Sỉ Lẻ: Củ Kiệu - Dưa Món (Chay - Mận)
- Tai Heo Ngậm - Khô Gà
- Tương Hột - Chao - Các Loại Gia Vi...",crop_images/GPAH9361.JPG.jpg_1730854548.9343379.jpg
YOGA Đáng Chuẩn,,,,"Dịch vụ và sản phẩm liên quan đến yoga, thực phẩm chức năng hoặc mỹ phẩm chăm sóc sức khỏe",Yến làm,,,,,,"YOGA
YẾN LÀM
Đáng Chuẩn
Eo Thân",crop_images/GPAH9367.JPG.jpg_1730855325.3887072.jpg
Kim Yến,7 - 45 Chỗ,,,Thuê xe du lịch,Dịch vụ cho thuê xe du lịch,,,,,,"THUÊ XE DU LỊCH
7 - 45 CHỖ
KIM YẾN",crop_images/GPAH9369.JPG.jpg_1730855725.7836306.jpg
Kim Yên - Dịch vụ thuê xe du lịch,Số 7 - 45,,,Dịch vụ thuê xe du lịch,"Dịch vụ cho thuê xe du lịch từ 7 - 45 chỗ cho các chuyến đi du lịch, công tác, thăm bạn bè, hoặc các sự kiện khác.",,,,,,"THUÊ XE DU LỊCH
7 - 45 CHỖ
KIM YÊN",crop_images/GPAH9369.JPG.jpg_1730855725.8125942.jpg
Com Chay An Lac,"123 Lê Lợi, Quận 1, TP. Hồ Chí Minh",,,"Cửa hàng cung cấp các món ăn chay, đồ uống chay, thực phẩm không sử dụng nguyên liệu từ động vật","Cơm chay, mì chay, phở chay, đồ uống chay",Quận 1,123,Lê Lợi,TP. Hồ Chí Minh,,CƠM CHAY,crop_images/GPAH9370.JPG.jpg_1730855856.8525412.jpg
Công ty TNHH Máy & Thiết Bị Công Nghiệp Đình Cao,,,,Máy và Thiết Bị Công Nghiệp,"Máy móc, thiết bị công nghiệp",,,,,,"CÔNG TY TNHH MÁY & THIẾT BỊ CÔNG NGHIỆP
ĐÌNH CAO",crop_images/GPAH9370.JPG.jpg_1730855856.874775.jpg
Cho Thuê Xe Du Lịch,,,,Dịch vụ cho thuê xe du lịch,Cho thuê xe du lịch từ 7 đến 45 chỗ,,,,,,"CHO THUÊ XE DU LỊCH
TỪ 7 - 45 CHỖ",crop_images/GPAH9370.JPG.jpg_1730855856.91066.jpg
